month,district,pred_civil_works_count,pred_district_civil_works_count,pred_district_community_dev_count,pred_district_electricity_count,pred_district_environment_count,pred_district_inspection_count,pred_district_sanitation_count,pred_education_count,pred_electricity_count,pred_environment_count,pred_metro_police_count,pred_others_count,pred_police_count,pred_private_sector_count,pred_public_health_count,pred_transportation_count,pred_waterworks_count
2,บางซื่อ,868.0,475.0,0.0,115.0,0.0,11.0,0.0,1.0,149.0,0.0,0.0,18.0,1.0,0.0,0.0,147.0,0.0
2,บางนา,677.0,552.0,0.0,303.0,267.0,5.0,21.0,3.0,485.0,99.0,0.0,9.0,0.0,0.0,5.0,261.0,0.0
2,บางบอน,401.0,240.0,0.0,319.0,421.0,127.0,5.0,2.0,301.0,297.0,0.0,4.0,4.0,0.0,15.0,28.0,2.0
2,บางพลัด,63.0,0.0,0.0,432.0,0.0,0.0,0.0,0.0,518.0,0.0,153.0,834.0,184.0,0.0,0.0,0.0,0.0
2,บางรัก,707.0,1.0,28.0,0.0,0.0,1045.0,579.0,0.0,0.0,0.0,645.0,0.0,691.0,0.0,0.0,2.0,0.0
2,บางเขน,1030.0,1031.0,0.0,394.0,6.0,1029.0,86.0,3.0,699.0,54.0,0.0,48.0,0.0,0.0,0.0,97.0,0.0
2,บางแค,482.0,85.0,0.0,202.0,98.0,1180.0,9.0,1.0,172.0,118.0,129.0,0.0,189.0,0.0,28.0,99.0,0.0
2,บึงกุ่ม,772.0,24.0,0.0,79.0,108.0,615.0,0.0,5.0,84.0,88.0,0.0,0.0,0.0,0.0,0.0,207.0,0.0
2,ปทุมวัน,1234.0,0.0,4.0,74.0,0.0,1056.0,1.0,225.0,33.0,30.0,503.0,0.0,430.0,14.0,0.0,1.0,0.0
2,ประเวศ,1193.0,1215.0,3.0,26.0,29.0,754.0,218.0,2.0,202.0,897.0,0.0,0.0,0.0,0.0,16.0,123.0,0.0
2,ป้อมปราบศัตรูพ่าย,16.0,0.0,0.0,0.0,0.0,649.0,0.0,0.0,0.0,1.0,7.0,0.0,3.0,0.0,35.0,2.0,0.0
2,พญาไท,622.0,616.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,5.0,0.0
